Fenotipo,Descripcion
"a libero nam dui proin leo odio porttitor id","quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui"
"a nibh in quis justo","mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim"
"a nibh in quis justo maecenas rhoncus aliquam lacus","tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae"
"a odio in hac","hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis"
"a pede posuere nonummy integer non","rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper"
"a pede posuere nonummy integer non velit","vel enim sit amet nunc viverra dapibus nulla suscipit ligula in"
"ac diam cras","integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt"
"ac est lacinia nisi","sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus"
"ac est lacinia nisi venenatis tristique fusce","vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend"
"ac lobortis vel dapibus at diam nam tristique","eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget"
"ac neque duis","dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae"
"ac neque duis bibendum morbi","pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet"
"ac nibh fusce lacus purus","magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est"
"ac tellus semper interdum mauris ullamcorper purus sit amet nulla","erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi"
"accumsan felis ut at dolor quis odio consequat","mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta"
"accumsan odio curabitur convallis duis consequat dui","rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in"
"accumsan odio curabitur convallis duis consequat dui nec nisi","congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo"
"accumsan tortor quis turpis sed ante vivamus","vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis"
"adipiscing elit proin risus praesent lectus vestibulum quam sapien","feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue"
"adipiscing molestie hendrerit at vulputate vitae","condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper"
"aenean sit amet justo morbi ut odio","arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam"
"aenean sit amet justo morbi ut odio cras mi","turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt"
"aenean sit amet justo morbi ut odio cras mi pede","massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet"
"aliquam augue quam sollicitudin vitae consectetuer eget rutrum at","morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat"
"aliquam convallis nunc","eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula"
"aliquam convallis nunc proin at turpis a pede posuere nonummy","consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum"
"aliquam erat volutpat in congue","ligula nec sem duis aliquam convallis nunc proin at turpis"
"aliquam erat volutpat in congue etiam justo","ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat"
"aliquam lacus morbi quis tortor id nulla ultrices aliquet","sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in"
"aliquam non mauris morbi","erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem"
"aliquam non mauris morbi non","orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet"
"aliquam quis turpis eget elit sodales scelerisque","in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec"
